,g1,g2,g3,g4,g5
a7,208.9,7,6,1,8
a59,576.6,7,6,1,5
a76,289.6,7,6,1,8
a6,49.9,7,6,4,2
a25,135.4,7,6,1,2
a26,161.4,7,6,1,2
a27,163.1,7,6,1,1
a38,59.9,7,6,1,2
a43,207,7,6,1,2
a75,273.9,7,6,1,1
a106,91.4,7,6,1,2
a107,135.8,5,6,6,1
a108,108.2,5,6,4,1
a5,219.5,3,4,4,1
a9,141.1,3,4,4,1
a10,533.6,3,4,4,1
a11,134.9,1,4,4,1
a12,91.6,1,4,4,1
a13,129.7,1,4,4,1
a20,289.2,1,4,3,1
a22,128.5,5,4,1,1
a24,55,3,4,1,1
a28,244.8,5,4,4,1
a29,215.1,3,4,4,1
a30,49.8,3,4,6,1
a42,117.6,5,4,4,1
a44,431.3,5,4,3,1
a45,62,3,6,3,1
a2,10.1,2,1,1,1
a3,8.3,2,6,1,1
a4,20.3,2,4,1,1
a8,67.7,2,1,4,1
a14,44.8,1,4,3,1
a15,8.3,1,4,3,1
a16,14.8,1,6,1,1
a17,53.8,1,1,1,1
a18,124.9,1,1,1,1
a19,89.4,1,1,4,1
a21,66.4,1,6,1,1
a31,66.4,3,1,1,1
