,g1,g2,g3,g4,g5
NewZealand,10,9.29,8.89,8.13,10
Australia,10,8.93,7.78,9.38,10
SouthKorea,9.17,7.86,7.22,7.5,8.83
Japan,9.17,8.21,6.11,7.5,9.41
Taiwan,9.58,7.14,5.56,5.63,9.71
India,9.58,8.57,4.44,4.38,9.41
TimorLeste,8.67,6.79,5.56,6.88,8.24
Thailand,7.83,6.07,5.56,6.25,7.06
Papua,7.33,6.43,4.44,6.25,8.24
Indonesia,6.92,7.5,5.58,5.63,7.06
Mongolia,8.33,5.71,3.89,5.63,8.24
Malaysia,6.5,6.79,5.56,6.25,5.88
Philippines,8.33,5,5,3.13,9.12
HongKong,3.5,5.36,4.44,6.88,9.41
Singapore,4.33,7.5,2.78,7.5,7.35
Bangladesh,7.42,5.43,4.44,5,7.06
Cambodia,6.08,6.07,2.78,5,4.41
Bhutan,6.25,5.36,3.89,4.38,3.53
Pakistan,5.17,5.71,2.22,4.38,5.29
Nepal,1.83,4.29,3.89,5.63,5.59
Fiji,0.42,2.86,3.33,3.75,3.82
China,0,5,3.89,5.63,1.18
Vietnam,0,4.29,3.33,5.63,4.41
Afghanistan,2.5,0.79,2.78,2.5,3.82
Laos,0,3.21,1.11,5,1.18
Guinea,2.08,0,2.78,1.88,3.24
Myanmar,0,1.79,0.56,5.63,0.88
NorthKorea,0,2.5,1.67,1.25,0
